Epoch,Train Loss,Train Acc,Val Loss,Val Acc,Learning Rate,Best Val Acc
1,0.0851520770817995,96.735625,0.08935223410973388,96.52624126028851,0.001,0.0
2,0.06015799037218094,97.805,0.08409876509810264,97.20329232675458,0.001,96.52624126028851
3,0.05326064107120037,98.094375,0.059092651801497746,97.8626427117444,0.001,97.20329232675458
4,0.051662280169129375,98.12375,0.07397772678765312,97.6900610673511,0.001,97.8626427117444
5,0.047478583048284055,98.328125,0.10239100047737737,96.73864943800336,0.001,97.8626427117444
6,0.04560747926160693,98.35625,0.05206116439586275,98.22550668200726,0.001,97.8626427117444
7,0.04394669941365719,98.451875,0.05381541963917821,98.03079918576866,0.001,98.22550668200726
8,0.04202033950686455,98.525625,0.04558773692226393,98.47331622267457,0.001,98.22550668200726
9,0.040915848926454786,98.524375,0.048038801387622114,98.28745906717408,0.001,98.47331622267457
10,0.03992116931378841,98.58625,0.052234759376373854,98.10602708204266,0.001,98.47331622267457
11,0.03959242257475853,98.6475,0.045585977965233365,98.3626869634481,0.001,98.47331622267457
12,0.03744919494614005,98.654375,0.044282721554379116,98.44234003009116,0.001,98.47331622267457
13,0.036179961794614794,98.733125,0.046414075762012535,98.38481281529339,0.001,98.47331622267457
14,0.035906546842306854,98.75375,0.04303087894229239,98.56181963005575,0.001,98.47331622267457
15,0.034095725236833095,98.775,0.05077070102168854,98.33171077086467,0.001,98.56181963005575
16,0.03328935168534517,98.846875,0.044139825173894344,98.38481281529339,0.001,98.56181963005575
17,0.03259958714321256,98.85,0.05913997003599332,97.97769714133995,0.001,98.56181963005575
18,0.031739127913862464,98.865625,0.04972827267438027,98.40693866713869,0.001,98.56181963005575
19,0.022077313408255576,99.216875,0.040682790698902155,98.72112576334189,0.0001,98.56181963005575
20,0.018893756016343834,99.375625,0.04149029196601026,98.7521019559253,0.0001,98.72112576334189
21,0.01776793639808893,99.40375,0.04075235193673772,98.78307814850872,0.0001,98.7521019559253
22,0.016435056784003973,99.443125,0.0417129355652802,98.72112576334189,0.0001,98.78307814850872
23,0.01525660327449441,99.46625,0.04386149448462961,98.74325161518719,0.0001,98.78307814850872
24,0.01385243609547615,99.515625,0.043540186159119136,98.7521019559253,1e-05,98.78307814850872
25,0.013211104653030634,99.56125,0.044056067949558575,98.7521019559253,1e-05,98.78307814850872
26,0.013066578276455403,99.56125,0.0444903180311863,98.76980263740154,1e-05,98.78307814850872
