Epoch,Train Loss,Train Acc,Val Loss,Val Acc,GPU Memory Used
1,0.29310686307280337,0.8734118135144947,0.23743274301642872,0.8996058908940053,62.04150390625
2,0.2130447335103479,0.9138100917906965,0.25792900686614173,0.8973242065961419,61.84765625
3,0.17957047786908867,0.9292122595031894,0.22154749643997987,0.9081103505496785,61.84814453125
4,0.1572313924747814,0.9388580615049525,0.22874424047574934,0.9070732213233769,61.84765625
5,0.13391070528139323,0.9480371311517918,0.294114372142245,0.901265297656088,61.84814453125
6,0.12483426459067554,0.9515116942384484,0.23744057614361688,0.9060360920970753,61.84814453125
7,0.10434052670378473,0.9593942851216097,0.24042310992406873,0.9039618336444721,61.84814453125
8,0.09741076494336764,0.9645802001763212,0.29873849494505217,0.8991910392034848,61.84814453125
9,0.09005728442812463,0.9669138619509413,0.3169394997955976,0.8921385604646339,61.84814453125
10,0.08338742438374,0.9691438054244672,0.25654986654666173,0.9079029247044181,61.84814453125
11,0.07681534918012482,0.9733962557693305,0.30817120136054466,0.9101846090022817,61.84814453125
12,0.07354724638174476,0.9727220868122181,0.32229375422581974,0.9068657954781165,61.84765625
13,0.0641765529262312,0.9767671005548929,0.3277150871990578,0.9041692594897324,61.84814453125
14,0.0595976789952598,0.9792044806306073,0.3398969973538135,0.9043766853349927,61.84814453125
15,0.06258794675459785,0.9772856920603641,0.32100211278305735,0.9025098527276498,61.84814453125
16,0.05306954814225643,0.9810714100503034,0.3576241056346913,0.9025098527276498,61.84814453125
17,0.0550383859502047,0.9792563397811545,0.3292428061344445,0.911014312383323,61.84814453125
18,0.050959794133900053,0.9824716071150755,0.3316071846751696,0.9099771831570214,61.84765625
19,0.04922146225885281,0.9824197479645284,0.3737052410649353,0.9039618336444721,61.84814453125
20,0.04850016010980523,0.9838199450293005,0.4054292060853633,0.8969093549056212,61.84814453125
21,0.04302095406494255,0.9851682829435254,0.3688901243331496,0.9101846090022817,61.84814453125
22,0.043083877698553354,0.9847015505886014,0.3355216105136108,0.905206388716034,61.84814453125
23,0.04195466338494708,0.9844422548358658,0.42100218312420357,0.8958722256793197,61.84814453125
24,0.04185629821318855,0.9848052688896957,0.43125012457012213,0.896701929060361,61.84814453125
25,0.04321961577708153,0.9844422548358658,0.35199555381900716,0.9103920348475419,61.84814453125
26,0.04275269185210318,0.9848571280402427,0.41052449350410464,0.9004355942750467,61.84814453125
27,0.03675574842889461,0.9863610434061091,0.42225717247039346,0.9041692594897324,61.84814453125
28,0.035427789782765916,0.9865166208577504,0.42284727719680226,0.8991910392034848,61.84814453125
29,0.03935722262169546,0.9855312969973552,0.3893751718028159,0.8987761875129641,61.84814453125
30,0.032094388583546844,0.9886947051807292,0.45775898577043855,0.884463804190002,61.84814453125
31,0.039746953078180026,0.9852201420940725,0.3658721078557361,0.9093549056212404,61.84814453125
32,0.02763079024199498,0.9898874656433128,0.35710904643239383,0.9085252022401992,61.84814453125
33,0.03821602436134641,0.9855312969973552,0.3967352440139115,0.9122588674548848,61.84814453125
34,0.03443215501063939,0.9878130996214283,0.36795809880452296,0.9047915370255134,61.84765625
35,0.028813142960166713,0.9898356064927657,0.43207888058225435,0.9083177763949388,61.84814453125
36,0.030780670257485286,0.9893170149872945,0.3653831720673625,0.9072806471686372,61.84814453125
37,0.028214024747780533,0.9896281698905772,0.4482012816767207,0.9025098527276498,61.84814453125
38,0.029116946755844943,0.9889021417829177,0.49780577868748643,0.8969093549056212,61.84814453125
39,0.0236736490469775,0.9907172120520666,0.45390225144200147,0.9029247044181705,61.84814453125
40,0.02810595284250832,0.9893170149872945,0.43374159083379255,0.8991910392034848,61.84814453125
41,0.02961918878425445,0.9893688741378417,0.48264235026904145,0.900643020120307,61.84814453125
42,0.02503088781925901,0.9907172120520666,0.46051010314519664,0.9049989628707736,61.84814453125
43,0.027554842246582938,0.989524451589483,0.4395821673868603,0.9054138145612943,61.84814453125
44,0.027159283249938177,0.9890058600840118,0.3980584534785728,0.9089400539307197,61.84814453125
45,0.02822148961248854,0.9884354094279936,0.44022394502541257,0.9079029247044181,61.84814453125
